id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
13181940;Penthouse overlooking the sea and Christ the Redeemer;72536853;Cezar;;Copacabana;-22.96607054;-43.17866683;Entire home/apt;368;4;9;9/09/2018;0.43;5;159
17411813;WELCOME TO RIO - COPACABANA;83089976;Sergio&Marlene;;Copacabana;-22.96523511;-43.17867576;Entire home/apt;98;3;8;24/09/2018;0.43;1;72
13355447;Best location Ipanema;40047720;José;;Copacabana;-22.98556929;-43.19140932;Entire home/apt;500;5;1;23/09/2017;0.08;2;365
969120;Aluguel;5291353;Luiz Rogério;;Copacabana;-22.96866836;-43.18363473;Entire home/apt;744;1;0;;;1;365
896752;bulhoes 204 near ipanema, metro ;4307081;Nereu A;;Copacabana;-22.98442781;-43.19280518;Entire home/apt;526;5;0;;;55;365
17526558;Apartamento em Copacabana, 2 minutos da praia.;84234504;Sueli;;Copacabana;-22.98205674;-43.19144797;Entire home/apt;601;2;3;25/09/2017;0.16;1;332
12677922;Three Bedroom Partial Ocean View in Copacabana # 322;66877715;Alan Mattos;;Copacabana;-22.98505936;-43.19140378;Entire home/apt;349;3;5;30/08/2017;0.19;43;79
2526158;Apartamento 1 quarto em Copacabana;12935217;Celia;;Copacabana;-22.98179198;-43.19085127;Entire home/apt;199;2;2;17/08/2016;0.05;1;349
2691262;Apto Rua Raul Pompéia - Copacabana;12565926;Maria Claudia;;Copacabana;-22.98642539;-43.19056211;Entire home/apt;150;1;3;15/02/2016;0.06;4;324
3108510;QUARTO A DOIS QUARTEIRÕES DA PRAIA;15801422;Marco;;Copacabana;-22.98562041;-43.19157883;Private room;826;1;0;;;1;365
6611554;PRAIA COPACABANA POSTO 6;13664216;Maria Lucia;;Copacabana;-22.98218902;-43.19042792;Entire home/apt;199;7;2;21/08/2016;0.08;15;87
28132169;Beira da praia 8 pessoas confortavel, perto de TD.;22085127;Davimar;;Copacabana;-22.98197895;-43.190376;Entire home/apt;999;6;0;;;13;178
6551209;Localização Previlegiada. Posto 6, 50 metros mar.;34264784;Sandra;;Copacabana;-22.98478222;-43.19135902;Entire home/apt;199;2;35;1/10/2018;1.15;2;290
8436419;COPACABANA - POSTO 3;44420898;Jeff;;Copacabana;-22.96747499;-43.18200183;Private room;90;2;89;9/09/2018;2.4;1;331
10244559;Lindo apartamento igrejinha;46235793;Daniela;;Copacabana;-22.98467014;-43.19086944;Entire home/apt;2948;5;1;30/12/2015;0.03;8;365
1118497;BEAUTIFUL STUDIO IN COPACABANA;6138630;Marcos;;Copacabana;-22.98472636;-43.19112908;Entire home/apt;116;2;174;23/09/2018;2.75;1;194
23054388;MR Rentals Rio C001;170912239;Grupo MG;;Copacabana;-22.9776566;-43.18995581;Entire home/apt;349;3;0;;;8;365
